id,nombre,precio,fecha,timestamp,wishlist_id,calidad,idioma,foil
138,"Aang, Airbending Master",13.63,2025-12-24,2025-12-24 00:22:59,0,Indiferente,Indiferente,Indiferente
225,"Aang, Airbending Master",13.34,2025-12-24,2025-12-24 05:12:40,2442303,Indiferente,Indiferente,Indiferente
139,"Aang, salvador raudo // Aang y La, furia del océano",4.59,2025-12-24,2025-12-24 00:22:59,0,Indiferente,Indiferente,Indiferente
226,"Aang, salvador raudo // Aang y La, furia del océano",3.16,2025-12-24,2025-12-24 05:12:40,2442303,Indiferente,Indiferente,Indiferente
194,Agna Qel'a,1.05,2025-12-24,2025-12-24 00:23:33,0,Indiferente,Indiferente,Indiferente
240,Agna Qel'a,0.11,2025-12-24,2025-12-24 09:28:48,2404433,Indiferente,Indiferente,Indiferente
248,Agna Qel'a,1.05,2025-12-24,2025-12-24 10:07:41,2404433,Indiferente,Indiferente,Indiferente
64,Alquimista diestra,0.29,2025-12-24,2025-12-24 00:20:21,0,Indiferente,Indiferente,Indiferente
161,Altar sin dios,5.92,2025-12-24,2025-12-24 00:22:59,0,Indiferente,Indiferente,Indiferente
36,Amo de Pozos Desbordados,3.1,2025-12-24,2025-12-24 00:19:11,0,Indiferente,Indiferente,Indiferente
245,Amo de Pozos Desbordados,3.19,2025-12-24,2025-12-24 10:04:55,2418820,Indiferente,Indiferente,Indiferente
159,Anciana del Cubil Feérico,0.53,2025-12-24,2025-12-24 00:22:59,0,Indiferente,Indiferente,Indiferente
121,Anillo solar,1.05,2025-12-24,2025-12-24 00:20:21,0,Indiferente,Indiferente,Indiferente
224,Anillo solar,0.95,2025-12-24,2025-12-24 05:11:31,2523862,Indiferente,Indiferente,Indiferente
141,Annie se une al equipo,3.67,2025-12-24,2025-12-24 00:22:59,0,Indiferente,Indiferente,Indiferente
189,Antepasados verdaderos,0.11,2025-12-24,2025-12-24 00:22:59,0,Indiferente,Indiferente,Indiferente
142,"Appa, guardián resuelto",14.94,2025-12-24,2025-12-24 00:22:59,0,Indiferente,Indiferente,Indiferente
123,Arboleda Pétalo Solar,0.44,2025-12-24,2025-12-24 00:20:21,0,Indiferente,Indiferente,Indiferente
184,Arboleda floreciente,0.13,2025-12-24,2025-12-24 00:22:59,0,Indiferente,Indiferente,Indiferente
66,Archivero de Oghma,5.85,2025-12-24,2025-12-24 00:20:21,0,Indiferente,Indiferente,Indiferente
200,Archivero de Oghma,6.3,2025-12-24,2025-12-24 00:42:48,0,Indiferente,Indiferente,Indiferente
204,Archivero de Oghma,5.51,2025-12-24,2025-12-24 02:00:43,2523862,Indiferente,Indiferente,Indiferente
212,Archivero de Oghma,6.3,2025-12-24,2025-12-24 03:04:12,2523862,Indiferente,Indiferente,Indiferente
43,Arrecife sin sosiego,1.52,2025-12-24,2025-12-24 00:19:11,0,Indiferente,Indiferente,Indiferente
191,Ascenso de la maestra del agua,0.46,2025-12-24,2025-12-24 00:22:59,0,Indiferente,Indiferente,Indiferente
239,Ascenso de la maestra del agua,0.11,2025-12-24,2025-12-24 09:28:14,2442303,Indiferente,Indiferente,Indiferente
247,Ascenso de la maestra del agua,0.46,2025-12-24,2025-12-24 10:07:03,2442303,Indiferente,Indiferente,Indiferente
68,Astrid Peth,3.0,2025-12-24,2025-12-24 00:20:21,0,Indiferente,Indiferente,Indiferente
102,Atrio exuberante,5.76,2025-12-24,2025-12-24 00:20:21,0,Indiferente,Indiferente,Indiferente
218,Atrio exuberante,5.85,2025-12-24,2025-12-24 04:07:51,2523862,Indiferente,Indiferente,Indiferente
38,Aunar fuerzas,0.19,2025-12-24,2025-12-24 00:19:11,0,Indiferente,Indiferente,Indiferente
2,Auton Soldier,6.04,2025-12-24,2025-12-24 00:19:11,0,Indiferente,Indiferente,Indiferente
209,Auton Soldier,5.99,2025-12-24,2025-12-24 03:03:08,2418820,Indiferente,Indiferente,Indiferente
71,Bill el poni,0.11,2025-12-24,2025-12-24 00:20:21,0,Indiferente,Indiferente,Indiferente
72,"Boromir, Guardián de la Torre",3.32,2025-12-24,2025-12-24 00:20:21,0,Indiferente,Indiferente,Indiferente
73,"Boseiju, la que perdura",33.21,2025-12-24,2025-12-24 00:20:21,0,Indiferente,Indiferente,Indiferente
173,Bosque tropical brumoso,21.97,2025-12-24,2025-12-24 00:22:59,0,Indiferente,Indiferente,Indiferente
137,Brezal azotado por el viento,8.7,2025-12-24,2025-12-24 00:20:21,0,Indiferente,Indiferente,Indiferente
185,Brezal floreciente,0.12,2025-12-24,2025-12-24 00:22:59,0,Indiferente,Indiferente,Indiferente
149,"Bumi, Eclectic Earthbender",11.23,2025-12-24,2025-12-24 00:22:59,0,Indiferente,Indiferente,Indiferente
150,"Bumi, liberado",4.1,2025-12-24,2025-12-24 00:22:59,0,Indiferente,Indiferente,Indiferente
132,"Bárbol, anfitrión amable",0.64,2025-12-24,2025-12-24 00:20:21,0,Indiferente,Indiferente,Indiferente
22,Búsqueda frenética,0.29,2025-12-24,2025-12-24 00:19:11,0,Indiferente,Indiferente,Indiferente
77,"Cadira, convocadora de los pequeños",0.18,2025-12-24,2025-12-24 00:20:21,0,Indiferente,Indiferente,Indiferente
111,Camino al exilio,1.08,2025-12-24,2025-12-24 00:20:21,0,Indiferente,Indiferente,Indiferente
201,Camino al exilio,1.07,2025-12-24,2025-12-24 00:56:58,2523862,Indiferente,Indiferente,Indiferente
151,Cascadas rebosantes,0.63,2025-12-24,2025-12-24 00:22:59,0,Indiferente,Indiferente,Indiferente
15,Catacumba inundada,1.28,2025-12-24,2025-12-24 00:19:11,0,Indiferente,Indiferente,Indiferente
11,Catacumbas Aguanegra,0.23,2025-12-24,2025-12-24 00:19:11,0,Indiferente,Indiferente,Indiferente
3,Cenagal ensangrentado,12.87,2025-12-24,2025-12-24 00:19:11,0,Indiferente,Indiferente,Indiferente
